Area,BHK,Bathroom,Furnishing,Location,District,Locality,Parking,Status,Transaction,Type,Per_Sqft,Price
198,1,1,Furnished,Narela, North West Delhi,Narela Sector A5,1,Ready_to_move,Resale,Apartment,5051,1000000
900,2,2,Unfurnished,Narela, North West Delhi,Narela Sector A9,1,Ready_to_move,Resale,Apartment,4270,4600000
900,2,2,Semi-Furnished,Rohini, North West Delhi,"Prashant Vihar, Rohini",1,Ready_to_move,Resale,Apartment,6154,10500000
350,1,1,Semi-Furnished,Rohini, North West Delhi,"Rohini ( 1 km from Shahbad Dairy, Rohini)",1,Ready_to_move,New_Property,Builder_Floor,,2300000
1150,3,3,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 14,1,Ready_to_move,Resale,Apartment,6154,25000000
1100,4,3,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 16,1,Ready_to_move,New_Property,Builder_Floor,6154,17000000
430.556,1,1,Furnished,Rohini, North West Delhi,"Rohini Sector 18 carpet area 40 sqm status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Furnished facing East overlooking Main Road car parking 2 Open bathroom 1 balcony 1 ownership Freehold East Facing Property It an LIG three side corner flat in second floor, having full scope of expansion. interior decorated with 2 textured wall , kajaria tiles , fully modular kitchen, branded bathroom and toilet fittings, LED panel, ac in one bedroom, false ceiling in entire flat.south facing unobstructed view balcony. It was all renovated only 2.5 yrs back so every thing is in brand new condition. read more Contact Owner View Phone No. Share Feedback Owner Pramod",2,Ready_to_move,Resale,Apartment,6154,5300000
2160,4,4,Furnished,Rohini, North West Delhi,Rohini Sector 19,1,Ready_to_move,New_Property,Builder_Floor,9722,21000000
1100,3,2,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 20,1,Ready_to_move,New_Property,Builder_Floor,6154,6200000
1100,3,3,Furnished,Rohini, North West Delhi,Rohini Sector 20,1,Ready_to_move,New_Property,Builder_Floor,6364,7000000
1100,3,2,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 20,1,Ready_to_move,New_Property,Builder_Floor,5255,6200000
1030,3,2,Furnished,Rohini, North West Delhi,Rohini Sector 20,1,Ready_to_move,New_Property,Builder_Floor,5255,6200000
985,3,3,Unfurnished,Rohini, North West Delhi,Rohini Sector 21,1,Almost_ready,New_Property,Builder_Floor,6154,6800000
1300,4,4,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 22,1,Ready_to_move,New_Property,Builder_Floor,6154,15000000
550,2,2,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 22,1,Ready_to_move,New_Property,Builder_Floor,6154,4500000
1300,4,4,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 22,1,Ready_to_move,New_Property,Builder_Floor,5255,15000000
850,3,2,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 23,1,Ready_to_move,New_Property,Builder_Floor,5255,6500000
2170,4,4,Unfurnished,Rohini, North West Delhi,Rohini Sector 23,2,Ready_to_move,New_Property,Builder_Floor,5255,22000000
720,3,2,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 23,1,Ready_to_move,New_Property,Builder_Floor,5255,6000000
850,3,2,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 23,1,Ready_to_move,New_Property,Builder_Floor,5255,7300000
950,3,2,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 23,1,Ready_to_move,New_Property,Builder_Floor,5255,7600000
2300,4,4,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 23,1,Ready_to_move,New_Property,Builder_Floor,5255,20000000
600,2,2,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 24,1,Ready_to_move,Resale,Builder_Floor,6667,4200000
1300,4,3,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 24,1,Ready_to_move,New_Property,Builder_Floor,6667,15500000
1350,4,3,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 24,1,Ready_to_move,Resale,Builder_Floor,6667,10000000
630,2,2,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 24,1,Ready_to_move,New_Property,Builder_Floor,6154,5500000
660,2,2,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 24,1,Ready_to_move,Resale,Builder_Floor,6154,5000000
650,2,2,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 24,1,Ready_to_move,Resale,Builder_Floor,6154,6000000
1360,4,3,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 24,1,Ready_to_move,New_Property,Builder_Floor,5255,13500000
1550,4,3,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 24,1,Ready_to_move,New_Property,Builder_Floor,5255,12500000
1550,4,3,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 24,1,Ready_to_move,New_Property,Builder_Floor,30556,13000000
1550,4,3,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 24,1,Ready_to_move,New_Property,Builder_Floor,30556,13000000
650,2,2,Semi-Furnished,Rohini, North West Delhi,"Rohini Sector 24 carpet area 650 sqft status Ready to Move floor 4 out of 4 floors transaction New Property furnishing Semi-Furnished facing East overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property East Facing Property 2BHK Newly build property for Sale. A House is waiting for a Friendly Family to make it a lovely home.So please come and make his house feel alive once again. read more Contact Agent View Phone No. Share Feedback Garima properties Certified Agent Trusted by Users Genuine Listings Market Knowledge",1,Ready_to_move,New_Property,Builder_Floor,6667,6200000
800,3,2,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 25,1,Ready_to_move,New_Property,Builder_Floor,,6500000
870,3,2,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 25,1,Ready_to_move,New_Property,Builder_Floor,6154,7700000
800,3,2,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 25,1,Ready_to_move,Resale,Builder_Floor,8750,7000000
28,2,2,Furnished,Rohini, North West Delhi,Rohini Sector 25,1,Ready_to_move,New_Property,Apartment,8750,5000000
660,2,2,Semi-Furnished,Rohini, North West Delhi,"Rohini Sector 25 carpet area 660 sqft status Ready to Move floor 2 out of 4 floors transaction New Property furnishing Semi-Furnished facing North overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property Near by Ryan international school 2BHK Located on the Ground Floor of a four story building with open parking the flat measure 720 Sq Ft the property is located in a green and plush sector with common parks opposite every lane and bus and auto stand nearby. its situated 1.5 km from the metro station and walkable distance from shopping distance from shopping complex. read more Contact Agent View Phone No. Share Feedback Know your Certified Agent CRISIL Rating No of Employees 9 Kulwant & Company Certified Agent Trusted by Users Genuine Listings 5500+ Buyers Served",1,Ready_to_move,New_Property,Builder_Floor,6154,4700000
914.9315,2,2,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 5,1,Ready_to_move,Resale,Builder_Floor,6154,12000000
344.4448,2,2,Semi-Furnished,Rohini, North West Delhi,Rohini Sector 8 How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 32 sqm status Ready to Move floor 1 transaction Resale furnishing Semi-Furnished Contact Now Enquire Now Auction By,1,Ready_to_move,Resale,Builder_Floor,6154,3310000
500,1,1,Semi-Furnished,Rohini, North West Delhi,"Sanskriti Apartment, Rohini Sector 28",1,Ready_to_move,Resale,Apartment,8750,3400000
1000,2,2,Semi-Furnished,Rohini, North West Delhi,"Saptrishi Apartment, Rohini Sector 23",1,Ready_to_move,Resale,Apartment,5255,7600000
900,3,2,Semi-Furnished,Rohini, North West Delhi,"Vijay Vihar, Rohini",5,Ready_to_move,Resale,Builder_Floor,6154,4500000
1350,4,4,Semi-Furnished,Okhla, East Delhi,"Abhimanyu Apartments, Vasundhara Enclave",1,Ready_to_move,Resale,Apartment,,10500000
1450,3,3,Semi-Furnished,Okhla, East Delhi,"Abhimanyu Apartments, Vasundhara Enclave",1,Ready_to_move,Resale,Apartment,9655,11600000
540,2,1,Semi-Furnished,Okhla, East Delhi,"Abul Fazal Enclave Part 1, Okhla",1,Ready_to_move,New_Property,Builder_Floor,25512,3600000
35,3,2,Semi-Furnished,Okhla, East Delhi,"Abul Fazal Enclave Part 1, Okhla",2,Ready_to_move,Resale,Apartment,19841,4950000
1260,3,2,Semi-Furnished,Okhla, East Delhi,"Abul Fazal Enclave Part 1, Okhla",1,Ready_to_move,Resale,Builder_Floor,5556,7000000
900,3,2,Furnished,Okhla, East Delhi,"Abul Fazal Enclave Part-II, Okhla",1,Ready_to_move,Resale,Builder_Floor,16917,5500000
750,2,2,Semi-Furnished,Okhla, East Delhi,"Abul Fazal Enclave Part-II, Okhla",1,Ready_to_move,Resale,Builder_Floor,10320,3800000
675,2,2,Unfurnished,Okhla, East Delhi,"Abul Fazal Enclave Part-II, Okhla",1,Ready_to_move,Resale,Builder_Floor,5556,3100000
1300,3,2,Semi-Furnished,Vasundhara, East Delhi,"Anekant Apartment, Vasundhara Enclave",2,Ready_to_move,Resale,Apartment,9655,9800000
312,4,4,Furnished,Laxmi Nagar, East Delhi,"Bank Enclave, Laxmi Nagar",1,Ready_to_move,Resale,Apartment,112179,35000000
750,3,2,Semi-Furnished,Okhla, East Delhi,"Batla House Project, Batla House, Okhla",1,Ready_to_move,Resale,Builder_Floor,2778,2400000
45,4,3,Unfurnished,Okhla, East Delhi,"Batla House, Okhla",1,Ready_to_move,New_Property,Builder_Floor,18750,5500000
45,4,3,Unfurnished,Okhla, East Delhi,"Batla House, Okhla",1,Ready_to_move,New_Property,Builder_Floor,18750,5500000
450,1,1,Semi-Furnished,Okhla, East Delhi,"Batla House, Okhla",1,Ready_to_move,New_Property,Builder_Floor,25512,1700000
550,2,1,Semi-Furnished,Okhla, East Delhi,"Batla House, Okhla",2,Ready_to_move,Resale,Apartment,2778,1600000
1500,3,3,Furnished,Vasundhara, East Delhi,"Capital Apartment, Vasundhara Enclave",2,Ready_to_move,Resale,Apartment,10000,15000000
1000,3,2,Furnished,Dilshad Garden, East Delhi,"DDA Flats Block A, Dilshad Garden",1,Ready_to_move,Resale,Apartment,9200,9200000
1700,3,2,Furnished,Dilshad Garden, East Delhi,"DDA Flats Block A, Dilshad Garden",1,Ready_to_move,Resale,Apartment,9200,17000000
1600,3,2,Semi-Furnished,Dilshad Garden, East Delhi,"DDA Flats Block A, Dilshad Garden",1,Ready_to_move,Resale,Apartment,10625,17000000
350,1,1,Unfurnished,Dilshad Garden, East Delhi,"DDA Flats Pocket O, Dilshad Garden",1,Ready_to_move,Resale,Apartment,9375,3000000
350,1,1,Unfurnished,Dilshad Garden, East Delhi,"DDA Pocket E, Dilshad Garden",1,Ready_to_move,Resale,Apartment,12000,4200000
1000,3,3,Furnished,Dilshad Garden, East Delhi,"DDA Pocket I, Dilshad Garden",1,Ready_to_move,Resale,Apartment,9500,9500000
750,2,1,Semi-Furnished,Dilshad Garden, East Delhi,"DDA Pocket JK, Dilshad Garden",2,Ready_to_move,New_Property,Apartment,8640,6500000
450,1,1,Unfurnished,Dilshad Garden, East Delhi,"Dilshad Colony, Dilshad Garden",,Ready_to_move,Resale,Apartment,,3300000
400,1,1,Semi-Furnished,Dilshad Garden, East Delhi,"Dilshad Colony, Dilshad Garden",1,Ready_to_move,Resale,Apartment,,3500000
650,2,2,Unfurnished,Dilshad Garden, East Delhi,"Dilshad Colony, Dilshad Garden",1,Ready_to_move,Resale,Builder_Floor,,6500000
900,2,2,Furnished,Dilshad Garden, East Delhi,"Dilshad Colony, Dilshad Garden",2,Ready_to_move,Resale,Builder_Floor,7666,6900000
400,1,1,Unfurnished,Dilshad Garden, East Delhi,"Dilshad Colony, Dilshad Garden",1,Ready_to_move,Resale,Builder_Floor,7666,3600000
900,3,2,Semi-Furnished,Dilshad Garden, East Delhi,"Dilshad Colony, Dilshad Garden",2,Ready_to_move,Resale,Apartment,7666,13500000
405,1,1,Unfurnished,Dilshad Garden, East Delhi,"Dilshad Colony, Dilshad Garden",1,Ready_to_move,Resale,Apartment,9200,2500000
1076.39,3,2,Unfurnished,Dilshad Garden, East Delhi,"Dilshad Colony, Dilshad Garden",10,Ready_to_move,Resale,Builder_Floor,8640,9300000
460,2,1,Unfurnished,Dilshad Garden, East Delhi,"Dilshad Colony, Dilshad Garden",2,Ready_to_move,Resale,Builder_Floor,8640,3300000
370,1,1,Unfurnished,Dilshad Garden, East Delhi,"Dilshad Colony, Dilshad Garden",2,Ready_to_move,Resale,Builder_Floor,6486,2400000
1800,3,3,Semi-Furnished,Dilshad Garden, East Delhi,"Dilshad Colony, Dilshad Garden",1,Ready_to_move,New_Property,Builder_Floor,8333,15000000
900,3,2,Semi-Furnished,Dilshad Garden, East Delhi,"Dilshad Colony, Dilshad Garden",1,Ready_to_move,Resale,Apartment,12000,4800000
800,2,2,Semi-Furnished,Dilshad Garden, East Delhi,"Dilshad Colony, Dilshad Garden",1,Ready_to_move,Resale,Apartment,9375,7500000
500,1,1,Semi-Furnished,Dilshad Garden, East Delhi,"Dilshad Colony, Dilshad Garden",1,Ready_to_move,Resale,Builder_Floor,5200,2600000
800,2,2,Unfurnished,Dilshad Garden, East Delhi,"Dilshad Colony, Dilshad Garden",1,Ready_to_move,Resale,Builder_Floor,7500,6000000
1000,2,2,Semi-Furnished,Dilshad Garden, East Delhi,"Dilshad Colony, Dilshad Garden",1,Ready_to_move,Resale,Apartment,6700,6700000
800,3,2,Semi-Furnished,Dilshad Garden, East Delhi,Dilshad Garden,1,Ready_to_move,Resale,Apartment,9200,9030000
